epoxide_component_id,dioxaphospholane_oxide_component_id,acrylate_component_id,pll_backbone_equivalent,epoxide_equivalent,dioxaphospholane_oxide_equivalent,acrylate_equivalent,transfection_efficiency,class_label
E10,NAN,A16,1,2,NAN,0.5,3898165704,0
E10,NAN,A17,1,2,NAN,0.25,2269554196,0
E10,NAN,A18,1,2,NAN,0.5,2003332488,0
E10,NAN,NAN,1,3,NAN,NAN,1762571860,0
E10,NAN,A23,1,3,NAN,0.25,1595817925,0
E10,NAN,A17,1,3,NAN,0.25,967570411,0
E10,NAN,A22,1,2,NAN,0.25,876294495,0
E10,NAN,A22,1,3,NAN,0.25,866313930,0
E10,NAN,A17,1,2,NAN,0.5,680581647,0
E12,NAN,NAN,1,3,NAN,NAN,1002463184,0
E12,NAN,A17,1,2,NAN,0.25,756820704,0
E12,NAN,A22,1,2,NAN,0.25,641102833,0
E14,NAN,A9,1,2,NAN,0.5,2138861160,0
E14,NAN,A17,1,2,NAN,0.25,1629695100,0
E14,NAN,A22,1,2,NAN,0.25,1342518539,0
E14,NAN,A17,1,3,NAN,0.25,1268609517,0
E14,NAN,A16,1,2,NAN,0.5,851625600,0
E14,NAN,A22,1,3,NAN,0.25,781928496,0
E3,NAN,A16,1,2,NAN,0.75,1.18E+11,0
E3,NAN,A2,1,2,NAN,0.5,82794398784,0
E3,NAN,A9,1,2,NAN,0.5,41355723456,0
E3,NAN,A18,1,2,NAN,0.5,38115594480,0
E3,NAN,A16,1,2,NAN,0.5,6217523976,0
E3,NAN,A23,1,2,NAN,0.25,3062777907,0
E3,NAN,A22,1,2,NAN,0.5,2891418529,0
E3,NAN,A18,1,2,NAN,0.75,2307853848,0
E3,NAN,A17,1,2,NAN,0.5,1046154330,0
E3,NAN,A1,1,2,NAN,0.5,1041324336,0
E3,NAN,A22,1,3,NAN,0.25,687913849,0
E3h,NAN,A16,1,2,NAN,0.75,21580270680,0
E3h,NAN,A18,1,2,NAN,0.75,2292540000,0
E3h,NAN,A18,1,2,NAN,0.5,2214143568,0
E3h,NAN,A2,1,2,NAN,0.5,1126038192,0
E3h,NAN,A9,1,2,NAN,0.75,1045611192,0
E3h,NAN,A16,1,2,NAN,0.5,1033538136,0
E3h,NAN,A9,1,2,NAN,0.5,638844144,0
E4,NAN,A16,1,2,NAN,0.75,90919667616,0
E4,NAN,A18,1,2,NAN,0.5,21539670720,0
E4,NAN,A22,1,2,NAN,0.5,6805750573,0
E4,NAN,A16,1,2,NAN,0.5,1970237376,0
E4,NAN,A9,1,2,NAN,0.5,1612245456,0
E4,NAN,A23,1,3,NAN,0.25,1143014235,0
E4,NAN,A23,1,2,NAN,0.25,1017519911,0
E4,NAN,A9,1,2,NAN,0.25,940960845,0
E4,NAN,A17,1,2,NAN,0.5,865458337,0
E4,NAN,A22,1,3,NAN,0.25,773071726,0
E5,NAN,A18,1,2,NAN,0.5,48461112720,0
E5,NAN,A2,1,2,NAN,0.5,39260640576,0
E5,NAN,A16,1,2,NAN,0.75,29947040304,0
E5,NAN,A9,1,2,NAN,0.5,16153109616,0
E5,NAN,A22,1,2,NAN,0.5,10079787214,0
E5,NAN,A16,1,2,NAN,0.5,9296531736,0
E5,NAN,A23,1,2,NAN,0.25,1722221813,0
E5,NAN,A23,1,3,NAN,0.25,1489765665,0
E5,NAN,A17,1,2,NAN,0.5,1267974117,0
E6,NAN,A18,1,2,NAN,0.5,59861498496,0
E6,NAN,A16,1,2,NAN,0.75,15412397808,0
E6,NAN,A16,1,2,NAN,0.5,11392232040,0
E6,NAN,A22,1,2,NAN,0.5,9776636697,0
E6,NAN,A23,1,3,NAN,0.25,4189036409,0
E6,NAN,A9,1,2,NAN,0.5,2070019752,0
E6,NAN,A23,1,2,NAN,0.25,1365300218,0
E6,NAN,A1,1,2,NAN,0.5,924211680,0
E6,NAN,A17,1,3,NAN,0.25,913104159,0
E6,NAN,A17,1,2,NAN,0.5,877898763,0
E6,NAN,A18,1,2,NAN,0.25,861119254,0
E6,NAN,A18,1,3,NAN,0.25,815407012,0
E6,NAN,A2,1,2,NAN,0.5,807244032,0
E6,NAN,A2,1,2,NAN,0.75,734078376,0
E6,NAN,A22,1,3,NAN,0.25,708598394,0
E6,NAN,A1,1,2,NAN,0.75,637915728,0
E7f,NAN,A16,1,2,NAN,0.5,4355113496,0
E7f,NAN,A6,1,2,NAN,0.25,2729627333,0
E7f,NAN,A4,1,2,NAN,0.25,2588377913,0
E7f,NAN,A23,1,2,NAN,0.25,2549615924,0
E7f,P10,NAN,1,3,0.25,NAN,2506357421,0
E7f,NAN,A9,1,2,NAN,0.5,2224677071,0
E7f,NAN,A17,1,3,NAN,0.25,2217826517,0
E7f,NAN,A18,1,2,NAN,0.5,2092253121,0
E7f,NAN,A6,1,3,NAN,0.25,1962786371,0
E7f,NAN,A18,1,2,NAN,0.25,1712491485,0
E7f,NAN,A18,1,3,NAN,0.25,1591243045,0
E7f,NAN,A17,1,2,NAN,0.5,1569317274,0
E7f,NAN,A16,1,2,NAN,0.25,1562687699,0
E7f,NAN,A2,1,3,NAN,0.25,1394456135,0
E7f,NAN,A17,1,2,NAN,0.25,1355589188,0
E7f,NAN,NAN,1,2,NAN,NAN,1212333000,0
E7f,NAN,A16,1,3,NAN,0.25,1122614130,0
E7f,NAN,A22,1,3,NAN,0.25,1075447447,0
E7f,NAN,A22,1,2,NAN,0.5,1029618163,0
E7f,NAN,A1,1,2,NAN,0.25,980574931,0
E7f,NAN,A23,1,3,NAN,0.25,941885896,0
E7f,P9,NAN,1,3,0.25,NAN,902966705,0
E7f,NAN,A23,1,2,NAN,0.5,876384863,0
E7f,NAN,A22,1,2,NAN,0.25,742343703,0
E7f,NAN,A5,1,3,NAN,0.25,729109498,0
E7f,NAN,A9,1,3,NAN,0.25,669725249,0
E7f,P18,NAN,1,3,0.25,NAN,597135977,0
E7f,NAN,A9,1,2,NAN,0.25,588601613,0
E8,NAN,A9,1,2,NAN,0.5,77383513728,0
E8,NAN,A18,1,2,NAN,0.5,74774579040,0
E8,P2,NAN,1,3,0.25,NAN,28042927014,0
E8,NAN,A16,1,2,NAN,0.5,27157132896,0
E8,P4,NAN,1,3,0.25,NAN,11221721231,0
E8,NAN,A22,1,2,NAN,0.5,7968995945,0
E8,P5,NAN,1,3,0.25,NAN,6374814150,0
E8,NAN,A16,1,2,NAN,0.75,5711998728,0
E8,NAN,A18,1,2,NAN,0.25,3073512252,0
E8,P3,NAN,1,3,0.25,NAN,3014219227,0
E8,NAN,A23,1,3,NAN,0.25,2867521605,0
E8,NAN,A17,1,2,NAN,0.5,2371384577,0
E8,NAN,A18,1,3,NAN,0.25,2308649929,0
E8,P16,NAN,1,3,0.25,NAN,1752878025,0
E8,NAN,A23,1,2,NAN,0.25,1472130255,0
E8,P18,NAN,1,3,0.25,NAN,1322173321,0
E8,P11,NAN,1,3,0.25,NAN,1207844872,0
E8,NAN,NAN,1,3,NAN,NAN,1167661684,0
E8,NAN,A9,1,2,NAN,0.25,1017997589,0
E8,NAN,A2,1,3,NAN,0.25,1017031231,0
E8,NAN,A4,1,2,NAN,0.5,1006434408,0
E8,NAN,A6,1,3,NAN,0.25,951147271,0
E8,P23,NAN,1,3,0.25,NAN,662615246,0
E8,P15,NAN,1,3,0.25,NAN,647827385,0
E8,P1,NAN,1,3,0.25,NAN,626192256,0
E8,NAN,A5,1,3,NAN,0.25,556444495,0
E9f,NAN,NAN,1,2,NAN,NAN,20524769304,0
E9f,NAN,A16,1,2,NAN,0.25,9735485840,0
E9f,NAN,A17,1,2,NAN,0.25,8252500835,0
E9f,NAN,A22,1,2,NAN,0.25,5660113077,0
E9f,NAN,A9,1,2,NAN,0.25,5408750720,0
E9f,NAN,A23,1,2,NAN,0.25,2769500330,0
E9f,NAN,A1,1,2,NAN,0.25,2144802113,0
E9f,NAN,A18,1,2,NAN,0.25,2136486139,0
E9f,NAN,A22,1,3,NAN,0.25,1816913592,0
E9f,NAN,A23,1,3,NAN,0.25,1437634154,0
E9f,NAN,A9,1,2,NAN,0.75,1014262192,0
E9f,NAN,A17,1,3,NAN,0.25,876092109,0
E9f,NAN,A16,1,3,NAN,0.25,711395723,0
NAN,NAN,A18,1,NAN,NAN,0.5,8164307790,0
NAN,P2,A16,1,NAN,0.25,0.5,7207552281,0
NAN,P16,A22,1,NAN,0.25,0.5,6906282888,0
NAN,P3,A16,1,NAN,0.25,0.5,6897311215,0
NAN,P16,A23,1,NAN,0.25,0.5,5341734942,0
NAN,P2,A18,1,NAN,0.25,0.5,4930158811,0
NAN,NAN,A2,1,NAN,NAN,0.5,4563553510,0
NAN,P21,A18,1,NAN,0.25,0.5,4378320437,0
NAN,P23,A22,1,NAN,0.25,0.5,4351750017,0
NAN,P2,A22,1,NAN,0.25,0.5,4302493768,0
NAN,P18,A18,1,NAN,0.25,0.5,4228247166,0
NAN,P22,A23,1,NAN,0.25,0.5,4149524135,0
NAN,P3,A17,1,NAN,0.25,0.5,4019320979,0
NAN,P1,A22,1,NAN,0.25,0.5,4012957329,0
NAN,P16,A18,1,NAN,0.25,0.5,3952655317,0
NAN,P10,A23,1,NAN,0.25,0.5,3930775869,0
NAN,P18,A22,1,NAN,0.25,0.5,3898737506,0
NAN,P10,A9,1,NAN,0.25,0.5,3889370907,0
NAN,P8,A16,1,NAN,0.25,0.5,3812991946,0
NAN,P23,A18,1,NAN,0.25,0.5,3671763761,0
NAN,P1,A16,1,NAN,0.25,0.5,3669825941,0
NAN,P15,A22,1,NAN,0.25,0.5,3640196403,0
NAN,P9,A22,1,NAN,0.25,0.5,3615950326,0
NAN,P10,A22,1,NAN,0.25,0.5,3593394463,0
NAN,P19,A16,1,NAN,0.25,0.5,3576530768,0
NAN,P23,A16,1,NAN,0.25,0.5,3565289918,0
NAN,P10,A16,1,NAN,0.25,0.5,3486434910,0
NAN,P21,A16,1,NAN,0.25,0.5,3459834442,0
NAN,P22,A16,1,NAN,0.25,0.5,3323208452,0
NAN,P8,A22,1,NAN,0.25,0.5,3280254020,0
NAN,P21,A17,1,NAN,0.25,0.5,3262108461,0
NAN,P9,A16,1,NAN,0.25,0.5,3231986271,0
NAN,P2,A17,1,NAN,0.25,0.5,3207934277,0
NAN,P13,A22,1,NAN,0.25,0.5,3187765137,0
NAN,P17,A22,1,NAN,0.25,0.5,3179592539,0
NAN,P17,A16,1,NAN,0.25,0.5,3147481840,0
NAN,P10,A17,1,NAN,0.25,0.5,3120042475,0
NAN,P11,A16,1,NAN,0.25,0.5,3119669105,0
NAN,P14,A22,1,NAN,0.25,0.5,3086378470,0
NAN,P22,A18,1,NAN,0.25,0.5,3083494711,0
NAN,P19,A18,1,NAN,0.25,0.5,3071478533,0
NAN,P17,A18,1,NAN,0.25,0.5,3070554331,0
NAN,P13,A18,1,NAN,0.25,0.5,3055430170,0
NAN,P25,A16,1,NAN,0.25,0.5,2936894847,0
NAN,NAN,A22,1,NAN,NAN,0.5,2855892136,0
NAN,P25,A18,1,NAN,0.25,0.5,2826136741,0
NAN,NAN,A23,1,NAN,NAN,0.5,2767799309,0
NAN,P1,A23,1,NAN,0.25,0.5,2746918683,0
NAN,P2,A23,1,NAN,0.25,0.5,2725115498,0
NAN,P18,A23,1,NAN,0.25,0.5,2717024187,0
NAN,P14,A18,1,NAN,0.25,0.5,2669487379,0
NAN,P17,A23,1,NAN,0.25,0.5,2608995485,0
NAN,P14,A16,1,NAN,0.25,0.5,2390947838,0
NAN,P15,A18,1,NAN,0.25,0.5,2366625041,0
NAN,P22,A22,1,NAN,0.25,0.5,2351864569,0
NAN,P15,A16,1,NAN,0.25,0.5,2300468197,0
NAN,P16,A16,1,NAN,0.25,0.5,2292637917,0
NAN,P23,A23,1,NAN,0.25,0.5,2228722393,0
NAN,P2,A9,1,NAN,0.25,0.5,2166897673,0
NAN,P18,A16,1,NAN,0.25,0.5,2159602697,0
